"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"DEU","Germany","W","Women","TOTAL","Total","2018","2018",42005398,,
"DEU","Germany","M","Men","TOTAL","Total","2018","2018",40908793,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82914191,,
"ITA","Italy","W","Women","TOTAL","Total","2018","2018",31008227,,
"ITA","Italy","M","Men","TOTAL","Total","2018","2018",29413570,,
"ITA","Italy","T","Total","TOTAL","Total","2018","2018",60421797,,
"DEU","Germany","W","Women","0_4","0 to 4","2018","2018",1891276,,
"DEU","Germany","M","Men","0_4","0 to 4","2018","2018",1993308,,
"DEU","Germany","T","Total","0_4","0 to 4","2018","2018",3884584,,
"ITA","Italy","W","Women","0_4","0 to 4","2018","2018",1168368,,
"ITA","Italy","M","Men","0_4","0 to 4","2018","2018",1236016,,
"ITA","Italy","T","Total","0_4","0 to 4","2018","2018",2404384,,
"DEU","Germany","W","Women","05_9","5 to 9","2018","2018",1777070,,
"DEU","Germany","M","Men","05_9","5 to 9","2018","2018",1878288,,
"DEU","Germany","T","Total","05_9","5 to 9","2018","2018",3655358,,
"ITA","Italy","W","Women","05_9","5 to 9","2018","2018",1335498,,
"ITA","Italy","M","Men","05_9","5 to 9","2018","2018",1415524,,
"ITA","Italy","T","Total","05_9","5 to 9","2018","2018",2751022,,
"DEU","Germany","W","Women","10_14","10 to 14","2018","2018",1793337,,
"DEU","Germany","M","Men","10_14","10 to 14","2018","2018",1900918,,
"DEU","Germany","T","Total","10_14","10 to 14","2018","2018",3694255,,
"ITA","Italy","W","Women","10_14","10 to 14","2018","2018",1390863,,
"ITA","Italy","M","Men","10_14","10 to 14","2018","2018",1476749,,
"ITA","Italy","T","Total","10_14","10 to 14","2018","2018",2867612,,
"DEU","Germany","W","Women","15_19","15 to 19","2018","2018",1935156,,
"DEU","Germany","M","Men","15_19","15 to 19","2018","2018",2108420,,
"DEU","Germany","T","Total","15_19","15 to 19","2018","2018",4043576,,
"ITA","Italy","W","Women","15_19","15 to 19","2018","2018",1393995,,
"ITA","Italy","M","Men","15_19","15 to 19","2018","2018",1506763,,
"ITA","Italy","T","Total","15_19","15 to 19","2018","2018",2900758,,
"DEU","Germany","W","Women","20_24","20 to 24","2018","2018",2191290,,
"DEU","Germany","M","Men","20_24","20 to 24","2018","2018",2414789,,
"DEU","Germany","T","Total","20_24","20 to 24","2018","2018",4606079,,
